word,type,level,translation,article,plural,preteritum,partizip_ii,positiv,komparativ,superlativ,example
verbessern,Verb,B1,yaxshilamoq,,,verbesserte,hat verbessert,,,,Ich möchte mein Deutsch verbessern.
verändern,Verb,B1,o'zgartirmoq,,,veränderte,hat verändert,,,,Die Stadt hat sich stark verändert.
vermeiden,Verb,B1,oldini olmoq,,,vermied,hat vermieden,,,,Wir sollten Fehler vermeiden.
vergleichen,Verb,B1,solishtirmoq,,,verglich,hat verglichen,,,,Vergleiche die zwei Bilder.
vorschlagen,Verb,B1,taklif qilmoq,,,schlug vor,hat vorgeschlagen,,,,Ich schlage einen anderen Termin vor.
widersprechen,Verb,B1,qarshi chiqmoq,,,widersprach,hat widersprochen,,,,Ich widerspreche dieser Meinung.
zunehmen,Verb,B1,ortmoq,,,nahm zu,hat zugenommen,,,,Die Zahl der Studenten nimmt zu.
abnehmen,Verb,B1,kamaymoq,,,nahm ab,hat abgenommen,,,,Die Nachfrage nimmt ab.
beweisen,Verb,B1,isbotlamoq,,,bewies,hat bewiesen,,,,Er konnte seine Unschuld beweisen.
behaupten,Verb,B1,da'vo qilmoq,,,behauptete,hat behauptet,,,,"Er behauptet, dass er recht hat."
überzeugen,Verb,B1,ishontirmoq,,,überzeugte,hat überzeugt,,,,Sie hat mich überzeugt.
sich befinden,Verb,B1,joylashmoq,,,befand sich,hat sich befunden,,,,Das Hotel befindet sich im Zentrum.
beeindrucken,Verb,B1,taassurot qoldirmoq,,,beeindruckte,hat beeindruckt,,,,Der Film hat mich sehr beeindruckt.
anbieten,Verb,B1,taklif qilmoq (xizmat),,,bot an,hat angeboten,,,,Das Geschäft bietet viele Produkte an.
reagieren,Verb,B1,reaksiya bildirmoq,,,reagierte,hat reagiert,,,,Er hat schnell reagiert.
handeln,Verb,B1,harakat qilmoq,,,handelte,hat gehandelt,,,,Wir müssen sofort handeln.
verursachen,Verb,B2,sabab bo'lmoq,,,verursachte,hat verursacht,,,,Der Fehler hat große Probleme verursacht.
berücksichtigen,Verb,B2,hisobga olmoq,,,berücksichtigte,hat berücksichtigt,,,,Wir müssen alle Faktoren berücksichtigen.
gewährleisten,Verb,B2,ta'minlamoq,,,gewährleistete,hat gewährleistet,,,,Die Firma gewährleistet die Qualität.
verzichten,Verb,B2,voz kechmoq,,,verzichtete,hat verzichtet,,,,Er verzichtet auf Alkohol.
sich auswirken,Verb,B2,ta'sir ko'rsatmoq,,,wirkte sich aus,hat sich ausgewirkt,,,,Der Stress wirkt sich auf die Gesundheit aus.
widerspiegeln,Verb,B2,aks ettirmoq,,,spiegelte wider,hat widergespiegelt,,,,Der Roman spiegelt die Gesellschaft wider.
betonen,Verb,B2,ta'kidlamoq,,,betonte,hat betont,,,,Er betont die Wichtigkeit der Bildung.
erwähnen,Verb,B2,tilga olmoq,,,erwähnte,hat erwähnt,,,,Sie hat das Problem kurz erwähnt.
hinweisen,Verb,B2,e'tiborini qaratmoq,,,wies hin,hat hingewiesen,,,,Ich möchte auf ein Problem hinweisen.
beitragen,Verb,B2,hissa qo'shmoq,,,trug bei,hat beigetragen,,,,Jeder kann zum Umweltschutz beitragen.
gelten,Verb,B2,amal qilmoq,,,galt,hat gegolten,,,,Diese Regel gilt für alle.
verfügen,Verb,B2,ega bo'lmoq,,,verfügte,hat verfügt,,,,Das Unternehmen verfügt über moderne Technik.
sich richten,Verb,B2,qaratilgan bo'lmoq,,,richtete sich,hat sich gerichtet,,,,Der Kurs richtet sich an Anfänger.
sich lohnen,Verb,B2,arzimoq,,,lohnte sich,hat sich gelohnt,,,,Die Mühe hat sich gelohnt.
scheitern,Verb,B2,muvaffaqiyatsizlikka uchramoq,,,scheiterte,ist gescheitert,,,,Das Projekt ist gescheitert.
verzeichnen,Verb,B2,qayd etmoq,,,verzeichnete,hat verzeichnet,,,,Die Firma verzeichnet einen Gewinn.
abschließen,Verb,B2,yakunlamoq,,,schloss ab,hat abgeschlossen,,,,Er hat das Studium abgeschlossen.
beabsichtigen,Verb,B2,niyat qilmoq,,,beabsichtigte,hat beabsichtigt,,,,"Sie beabsichtigt, im Ausland zu studieren."
sich auseinandersetzen,Verb,C1,jiddiy shug'ullanmoq,,,setzte sich auseinander,hat sich auseinandergesetzt,,,,Er setzt sich intensiv mit dem Thema auseinander.
veranschaulichen,Verb,C1,tasvirlab bermoq,,,veranschaulichte,hat veranschaulicht,,,,Das Beispiel veranschaulicht das Problem gut.
resultieren,Verb,C1,natija bo'lmoq,,,resultierte,hat resultiert,,,,Der Erfolg resultiert aus harter Arbeit.
relativieren,Verb,C1,nisbiylashtirmoq,,,relativierte,hat relativiert,,,,Man sollte diese Aussage relativieren.
thematisieren,Verb,C1,mavzu qilib olmoq,,,thematisierte,hat thematisiert,,,,Der Film thematisiert soziale Probleme.
verdeutlichen,Verb,C1,aniqlashtirmoq,,,verdeutlichte,hat verdeutlicht,,,,Das Beispiel verdeutlicht den Unterschied.
sich abzeichnen,Verb,C1,ko'rina boshlamoq,,,zeichnete sich ab,hat sich abgezeichnet,,,,Ein neuer Trend zeichnet sich ab.
einschätzen,Verb,C1,baholamoq,,,schätzte ein,hat eingeschätzt,,,,"Es ist schwer, die Situation einzuschätzen."
hervorheben,Verb,C1,alohida ta'kidlamoq,,,hob hervor,hat hervorgehoben,,,,Der Redner hebt einen wichtigen Punkt hervor.
beeinträchtigen,Verb,C1,salbiy ta'sir qilmoq,,,beeinträchtigte,hat beeinträchtigt,,,,Lärm beeinträchtigt die Konzentration.
konkretisieren,Verb,C2,aniqlashtirmoq,,,konkretisierte,hat konkretisiert,,,,Wir müssen den Plan konkretisieren.
subsumieren,Verb,C2,umumlashtirmoq,,,subsumierte,hat subsumiert,,,,Man kann diesen Fall nicht einfach subsumieren.
antizipieren,Verb,C2,oldindan payqamoq,,,antizipierte,hat antizipiert,,,,Er konnte die Reaktion antizipieren.
konvergieren,Verb,C2,yaqinlashmoq,,,konvergierte,ist konvergiert,,,,Die Meinungen konvergieren langsam.
divergieren,Verb,C2,farqlanmoq,,,divergierte,hat divergiert,,,,Die Ansichten divergieren stark.
postulieren,Verb,C2,talab qilib qo'ymoq,,,postulierte,hat postuliert,,,,Der Theoretiker postuliert eine neue Regel.
gut,Adjektiv,A1,yaxshi,,,,,gut,besser,am besten,Das Essen ist gut.
schlecht,Adjektiv,A1,yomon,,,,,schlecht,schlechter,am schlechtesten,Das Wetter ist heute schlecht.
groß,Adjektiv,A1,katta,,,,,groß,größer,am größten,Das Haus ist sehr groß.
klein,Adjektiv,A1,kichik,,,,,klein,kleiner,am kleinsten,Die Wohnung ist klein.
alt,Adjektiv,A1,qari; eski,,,,,alt,älter,am ältesten,Mein Opa ist sehr alt.
neu,Adjektiv,A1,yangi,,,,,neu,neuer,am neuesten,Ich habe ein neues Auto.
jung,Adjektiv,A1,yosh,,,,,jung,jünger,am jüngsten,Sie ist noch sehr jung.
schön,Adjektiv,A1,chiroyli,,,,,schön,schöner,am schönsten,Die Stadt ist sehr schön.
hässlich,Adjektiv,A1,xunuk,,,,,hässlich,hässlicher,am hässlichsten,Dieses Gebäude ist hässlich.
lang,Adjektiv,A1,uzun,,,,,lang,länger,am längsten,Der Film war sehr lang.
kurz,Adjektiv,A1,qisqa,,,,,kurz,kürzer,am kürzesten,Die Pause ist zu kurz.
schnell,Adjektiv,A1,tez,,,,,schnell,schneller,am schnellsten,Das Auto fährt sehr schnell.
langsam,Adjektiv,A1,sekin,,,,,langsam,langsamer,am langsamsten,Bitte sprich langsam.
warm,Adjektiv,A1,issiq,,,,,warm,wärmer,am wärmsten,Im Sommer ist es warm.
kalt,Adjektiv,A1,sovuq,,,,,kalt,kälter,am kältesten,Im Winter ist es kalt.
heiß,Adjektiv,A1,juda issiq,,,,,heiß,heißer,am heißesten,Der Kaffee ist noch heiß.
leicht,Adjektiv,A1,yengil; oson,,,,,leicht,leichter,am leichtesten,Die Aufgabe ist leicht.
schwer,Adjektiv,A1,og'ir; qiyin,,,,,schwer,schwerer,am schwersten,Die Prüfung war schwer.
glücklich,Adjektiv,A1,baxtli,,,,,glücklich,glücklicher,am glücklichsten,Ich bin heute sehr glücklich.
traurig,Adjektiv,A1,xafa,,,,,traurig,trauriger,am traurigsten,Der Film ist sehr traurig.
müde,Adjektiv,A1,charchagan,,,,,müde,müder,am müdesten,Ich bin heute sehr müde.
hungrig,Adjektiv,A1,och,,,,,hungrig,hungriger,am hungrigsten,Die Kinder sind hungrig.
durstig,Adjektiv,A1,chanqagan,,,,,durstig,durstiger,am durstigsten,Nach dem Sport bin ich durstig.
billig,Adjektiv,A1,arzon,,,,,billig,billiger,am billigsten,Dieses Handy ist billig.
teuer,Adjektiv,A1,qimmat,,,,,teuer,teurer,am teuersten,Das Auto ist sehr teuer.
voll,Adjektiv,A1,to'la,,,,,voll,voller,am vollsten,Das Glas ist voll.
leer,Adjektiv,A1,bo'sh,,,,,leer,leerer,am leersten,Die Flasche ist leer.
laut,Adjektiv,A1,shovqinli,,,,,laut,lauter,am lautesten,Die Musik ist zu laut.
leise,Adjektiv,A1,past ovozda,,,,,leise,leiser,am leisesten,Sprich bitte leiser.
sauber,Adjektiv,A1,toza,,,,,sauber,sauberer,am saubersten,Die Küche ist sauber.
schmutzig,Adjektiv,A1,iflos,,,,,schmutzig,schmutziger,am schmutzigsten,Seine Kleidung ist schmutzig.
einfach,Adjektiv,A1,oddiy; oson,,,,,einfach,einfacher,am einfachsten,Die Frage ist einfach.
wichtig,Adjektiv,A1,muhim,,,,,wichtig,wichtiger,am wichtigsten,Das ist eine wichtige Frage.
richtig,Adjektiv,A1,to'g'ri,,,,,richtig,richtiger,am richtigsten,Deine Antwort ist richtig.
falsch,Adjektiv,A1,noto'g'ri,,,,,falsch,falscher,am falschesten,Diese Antwort ist falsch.
bekannt,Adjektiv,A1,mashhur; tanish,,,,,bekannt,bekannter,am bekanntesten,Er ist ein bekannter Schauspieler.
frisch,Adjektiv,A1,yangi (mahsulot); nordon,,,,,frisch,frischer,am frischesten,Das Brot ist noch frisch.
süß,Adjektiv,A1,shirin,,,,,süß,süßer,am süßesten,Der Kuchen ist sehr süß.
sauer,Adjektiv,A1,nordon,,,,,sauer,saurer,am sauersten,Die Zitrone ist sauer.
stark,Adjektiv,A1,kuchli,,,,,stark,stärker,am stärksten,Er ist sehr stark.
interessant,Adjektiv,A2,qiziqarli,,,,,interessant,interessanter,am interessantesten,Das Buch ist sehr interessant.
langweilig,Adjektiv,A2,zerikarli,,,,,langweilig,langweiliger,am langweiligsten,Der Film war langweilig.
freundlich,Adjektiv,A2,do'stona,,,,,freundlich,freundlicher,am freundlichsten,Die Menschen hier sind sehr freundlich.
unfreundlich,Adjektiv,A2,nomehribon,,,,,unfreundlich,unfreundlicher,am unfreundlichsten,Der Verkäufer war unfreundlich.
fleißig,Adjektiv,A2,mehnatsevar,,,,,fleißig,fleißiger,am fleißigsten,Sie ist eine fleißige Studentin.
faul,Adjektiv,A2,dangasa,,,,,faul,fauler,am faulsten,Er ist manchmal etwas faul.
pünktlich,Adjektiv,A2,aniq vaqtida,,,,,pünktlich,pünktlicher,am pünktlichsten,Der Zug war pünktlich.
bequem,Adjektiv,A2,qulay,,,,,bequem,bequemer,am bequemsten,Der Stuhl ist sehr bequem.
praktisch,Adjektiv,A2,amaliy,,,,,praktisch,praktischer,am praktischsten,Diese Tasche ist sehr praktisch.
modern,Adjektiv,A2,zamonaviy,,,,,modern,moderner,am modernsten,Die Küche ist sehr modern.
gesund,Adjektiv,A2,sog'lom,,,,,gesund,gesünder,am gesündesten,Obst ist sehr gesund.
krank,Adjektiv,A2,kasal,,,,,krank,kränker,am kränksten,Mein Kollege ist heute krank.
ruhig,Adjektiv,A2,tinch,,,,,ruhig,ruhiger,am ruhigsten,Das Dorf ist sehr ruhig.
gefährlich,Adjektiv,A2,xavfli,,,,,gefährlich,gefährlicher,am gefährlichsten,Diese Straße ist gefährlich.
sicher,Adjektiv,A2,xavfsiz,,,,,sicher,sicherer,am sichersten,Dieses Auto ist sehr sicher.
möglich,Adjektiv,A2,mumkin bo'lgan,,,,,möglich,möglicher,am möglichsten,Das ist leider nicht möglich.
nötig,Adjektiv,A2,zarur,,,,,nötig,nötiger,am nötigsten,Das ist nicht nötig.
verschieden,Adjektiv,A2,turli xil,,,,,verschieden,verschiedener,am verschiedensten,Wir haben verschiedene Meinungen.
ähnlich,Adjektiv,A2,o'xshash,,,,,ähnlich,ähnlicher,am ähnlichsten,Die Brüder sehen sich ähnlich.
genau,Adjektiv,A2,aniq,,,,,genau,genauer,am genauesten,Ich weiß es nicht genau.
typisch,Adjektiv,A2,odatiy,,,,,typisch,typischer,am typischsten,Das ist typisch für ihn.
offen,Adjektiv,A2,ochiq,,,,,offen,offener,am offensten,Das Geschäft ist noch offen.
weit,Adjektiv,A2,uzoq,,,,,weit,weiter,am weitesten,Der Bahnhof ist weit von hier.
hoch,Adjektiv,A2,baland,,,,,hoch,höher,am höchsten,Der Berg ist sehr hoch.
niedrig,Adjektiv,A2,past,,,,,niedrig,niedriger,am niedrigsten,Die Decke ist sehr niedrig.
breit,Adjektiv,A2,keng,,,,,breit,breiter,am breitesten,Die Straße ist sehr breit.
schmal,Adjektiv,A2,tor,,,,,schmal,schmaler,am schmalsten,Der Weg ist sehr schmal.
tief,Adjektiv,A2,chuqur,,,,,tief,tiefer,am tiefsten,Der See ist sehr tief.
flach,Adjektiv,A2,tekis; sayoz,,,,,flach,flacher,am flachsten,Das Land ist sehr flach.
dick,Adjektiv,A2,qalin; semiz,,,,,dick,dicker,am dicksten,Das Buch ist sehr dick.
dünn,Adjektiv,A2,ingichka; ozg'in,,,,,dünn,dünner,am dünnsten,Das Papier ist sehr dünn.
nass,Adjektiv,A2,ho'l,,,,,nass,nasser,am nassesten,Meine Kleidung ist nass.
trocken,Adjektiv,A2,quruq,,,,,trocken,trockener,am trockensten,Das Wetter ist heute trocken.
weich,Adjektiv,A2,yumshoq,,,,,weich,weicher,am weichsten,Das Bett ist sehr weich.
hart,Adjektiv,A2,qattiq,,,,,hart,härter,am härtesten,Der Stuhl ist sehr hart.
bunt,Adjektiv,A2,rang-barang,,,,,bunt,bunter,am buntesten,Ihr Kleid ist sehr bunt.
erfolgreich,Adjektiv,B1,muvaffaqiyatli,,,,,erfolgreich,erfolgreicher,am erfolgreichsten,Sie ist eine erfolgreiche Geschäftsfrau.
selbstständig,Adjektiv,B1,mustaqil,,,,,selbstständig,selbstständiger,am selbstständigsten,Er arbeitet selbstständig.
zuverlässig,Adjektiv,B1,ishonchli,,,,,zuverlässig,zuverlässiger,am zuverlässigsten,Mein Kollege ist sehr zuverlässig.
flexibel,Adjektiv,B1,moslashuvchan,,,,,flexibel,flexibler,am flexibelsten,Die Arbeitszeiten sind flexibel.
kompliziert,Adjektiv,B1,murakkab,,,,,kompliziert,komplizierter,am kompliziertesten,Die Situation ist sehr kompliziert.
deutlich,Adjektiv,B1,aniq; ravshan,,,,,deutlich,deutlicher,am deutlichsten,Bitte sprich deutlicher.
vernünftig,Adjektiv,B1,oqilona,,,,,vernünftig,vernünftiger,am vernünftigsten,Das ist eine vernünftige Entscheidung.
neugierig,Adjektiv,B1,qiziquvchan,,,,,neugierig,neugieriger,am neugierigsten,Die Kinder sind sehr neugierig.
geduldig,Adjektiv,B1,sabrli,,,,,geduldig,geduldiger,am geduldigsten,Der Lehrer ist sehr geduldig.
ehrlich,Adjektiv,B1,halol; samimiy,,,,,ehrlich,ehrlicher,am ehrlichsten,Sie ist immer ehrlich.
höflich,Adjektiv,B1,odobli,,,,,höflich,höflicher,am höflichsten,Er ist sehr höflich.
mutig,Adjektiv,B1,jasur,,,,,mutig,mutiger,am mutigsten,Das war eine mutige Entscheidung.
vorsichtig,Adjektiv,B1,ehtiyotkor,,,,,vorsichtig,vorsichtiger,am vorsichtigsten,Sei bitte vorsichtig.
üblich,Adjektiv,B1,odatiy,,,,,üblich,üblicher,am üblichsten,Das ist hier üblich.
dringend,Adjektiv,B1,shoshilinch,,,,,dringend,dringender,am dringendsten,Ich brauche dringend Hilfe.
abhängig,Adjektiv,B1,bog'liq,,,,,abhängig,abhängiger,am abhängigsten,Der Erfolg ist von vielen Faktoren abhängig.
unabhängig,Adjektiv,B1,mustaqil (erkin),,,,,unabhängig,unabhängiger,am unabhängigsten,Das Land wurde 1991 unabhängig.
sinnvoll,Adjektiv,B1,mazmunli,,,,,sinnvoll,sinnvoller,am sinnvollsten,Das ist eine sinnvolle Lösung.
angenehm,Adjektiv,B1,yoqimli,,,,,angenehm,angenehmer,am angenehmsten,Die Temperatur ist angenehm.
unangenehm,Adjektiv,B1,noqulay,,,,,unangenehm,unangenehmer,am unangenehmsten,Das war eine unangenehme Situation.
bedeutend,Adjektiv,B2,muhim; taniqli,,,,,bedeutend,bedeutender,am bedeutendsten,Er ist ein bedeutender Wissenschaftler.
wesentlich,Adjektiv,B2,asosiy; muhim,,,,,wesentlich,wesentlicher,am wesentlichsten,Das ist ein wesentlicher Unterschied.
umfangreich,Adjektiv,B2,keng qamrovli,,,,,umfangreich,umfangreicher,am umfangreichsten,Das Projekt ist sehr umfangreich.
umstritten,Adjektiv,B2,bahsli,,,,,umstritten,umstrittener,am umstrittensten,Das Thema ist sehr umstritten.
nachhaltig,Adjektiv,B2,barqaror (uzoq muddatli),,,,,nachhaltig,nachhaltiger,am nachhaltigsten,Wir brauchen eine nachhaltige Lösung.
effektiv,Adjektiv,B2,samarali,,,,,effektiv,effektiver,am effektivsten,Diese Methode ist sehr effektiv.
angemessen,Adjektiv,B2,mos; adekvat,,,,,angemessen,angemessener,am angemessensten,Der Preis ist angemessen.
ausreichend,Adjektiv,B2,yetarli,,,,,ausreichend,ausreichender,am ausreichendsten,Wir haben ausreichend Zeit.
widersprüchlich,Adjektiv,B2,ziddiyatli,,,,,widersprüchlich,widersprüchlicher,am widersprüchlichsten,Die Aussagen sind widersprüchlich.
anspruchsvoll,Adjektiv,B2,talabchan,,,,,anspruchsvoll,anspruchsvoller,am anspruchsvollsten,Die Aufgabe ist sehr anspruchsvoll.
überzeugend,Adjektiv,B2,ishonarli,,,,,überzeugend,überzeugender,am überzeugendsten,Sein Argument war überzeugend.
konkret,Adjektiv,B2,aniq (mavhum emas),,,,,konkret,konkreter,am konkretesten,Wir brauchen einen konkreten Plan.
allgemein,Adjektiv,B2,umumiy,,,,,allgemein,allgemeiner,am allgemeinsten,Das ist eine allgemeine Regel.
differenziert,Adjektiv,B2,nozik; farqlangan,,,,,differenziert,differenzierter,am differenziertesten,Er hat eine differenzierte Meinung.
vielfältig,Adjektiv,B2,xilma-xil,,,,,vielfältig,vielfältiger,am vielfältigsten,Die Kultur der Stadt ist sehr vielfältig.
komplex,Adjektiv,B2,murakkab,,,,,komplex,komplexer,am komplexesten,Das Thema ist sehr komplex.
relevant,Adjektiv,B2,dolzarb; tegishli,,,,,relevant,relevanter,am relevantesten,Diese Information ist sehr relevant.
unumstritten,Adjektiv,C1,bahssiz,,,,,unumstritten,unumstrittener,am unumstrittensten,Seine Leistung ist unumstritten.
gravierend,Adjektiv,C1,jiddiy (og'ir),,,,,gravierend,gravierender,am gravierendsten,Das ist ein gravierender Fehler.
facettenreich,Adjektiv,C1,ko'p qirrali,,,,,facettenreich,facettenreicher,am facettenreichsten,Das Thema ist sehr facettenreich.
fundiert,Adjektiv,C1,asoslangan,,,,,fundiert,fundierter,am fundiertesten,Das ist eine fundierte Analyse.
plausibel,Adjektiv,C1,ishonarli; mantiqiy,,,,,plausibel,plausibler,am plausibelsten,Diese Erklärung ist plausibel.
kontrovers,Adjektiv,C1,ziddiyatli,,,,,kontrovers,kontroverser,am kontroversesten,Das Thema wird kontrovers diskutiert.
gängig,Adjektiv,C1,keng tarqalgan,,,,,gängig,gängiger,am gängigsten,Das ist eine gängige Methode.
essenziell,Adjektiv,C1,zaruriy,,,,,essenziell,essenzieller,am essenziellsten,Bildung ist essenziell für die Entwicklung.
signifikant,Adjektiv,C1,ahamiyatli; sezilarli,,,,,signifikant,signifikanter,am signifikantesten,Es gibt einen signifikanten Unterschied.
prekär,Adjektiv,C2,og'ir (ijtimoiy holat),,,,,prekär,prekärer,am prekärsten,Seine finanzielle Lage ist prekär.
ambivalent,Adjektiv,C2,ikkilanuvchan,,,,,ambivalent,ambivalenter,am ambivalentesten,Seine Gefühle sind sehr ambivalent.
inhärent,Adjektiv,C2,o'ziga xos (ichki),,,,,inhärent,inhärenter,am inhärentesten,Das Risiko ist dem System inhärent.
paradox,Adjektiv,C2,paradoksal,,,,,paradox,paradoxer,am paradoxesten,Diese Situation ist ziemlich paradox.
subtil,Adjektiv,C2,nozik,,,,,subtil,subtiler,am subtilsten,Der Unterschied ist sehr subtil.
prägnant,Adjektiv,C2,ixcham va aniq,,,,,prägnant,prägnanter,am prägnantesten,Seine Antwort war sehr prägnant.
viel,Adjektiv,A1,ko'p,,,,,viel,mehr,am meisten,Er hat viel Geld.
gern,Adjektiv,A1,xush ko'rib,,,,,gern,lieber,am liebsten,Ich trinke gern Tee.
nah,Adjektiv,A2,yaqin,,,,,nah,näher,am nächsten,Die Schule ist ganz nah.
